date,open,high,low,close,volume,daily_return,rsi,macd,macd_signal,target,SMA_10,SMA_50,y_pred_crossover,y_pred_rsi,y_pred,y_pred_best,y_pred_xgb,y_pred_svm
2000-02-29,113.56,117.25,112.56,114.62,3294300.0,0.01209713024282566,54.71653504978262,2.3742840871222057,2.712226958764991,1,114.274,106.1032,1,0,0,0,0,0
2000-03-01,118.56,132.06,118.5,130.31,9616100.0,0.13688710521723957,66.96539735509484,3.5652766353864678,2.8828368940892863,-1,115.405,106.7094,1,0,0,0,0,0
2000-03-02,127.0,127.94,120.69,122.0,2779100.0,-0.06377100759726806,58.01469921769072,3.794854539178857,3.0652404231072006,1,116.19300000000001,107.1894,1,0,0,0,0,0
2000-03-03,124.87,128.23,120.0,128.0,2887200.0,0.049180327868852514,61.967428416965994,4.410109540279123,3.334214246541585,-1,117.506,107.69940000000001,1,0,0,0,0,0
2000-03-06,126.0,129.13,125.0,125.69,1880000.0,-0.018046875000000018,59.63945058757468,4.6576157714513755,3.5988945515235433,-1,118.95,108.21440000000001,1,0,0,0,0,0
2000-03-07,126.44,127.44,121.12,122.87,2437600.0,-0.022436152438539247,56.83250510545923,4.573495402467202,3.7938147217122755,-1,119.856,108.6018,1,0,0,0,0,0
2000-03-08,122.87,123.94,118.56,122.0,2421700.0,-0.00708065435012617,55.957494271561266,4.386067815343239,3.9122653404384686,1,120.431,109.0556,1,0,0,0,0,0
2000-03-09,120.87,125.0,118.25,122.25,2470700.0,0.002049180327868827,56.16634201384826,4.209182180811993,3.9716487085131735,1,121.136,109.5368,1,0,0,0,0,0
2000-03-10,121.69,127.94,121.0,125.75,2219700.0,0.02862985685071573,59.09108963400409,4.301830960813874,4.037685158973313,-1,122.674,110.038,1,0,0,0,0,0
2000-03-13,122.12,126.5,119.5,121.31,2713900.0,-0.03530815109343932,54.15462694199516,3.971207287472751,4.024389584673202,-1,123.48000000000002,110.45800000000001,1,0,0,0,0,0
2000-03-14,121.22,124.25,114.0,114.25,3826600.0,-0.05819800511087303,47.37713418685995,3.1037248392713224,3.840256635592826,1,123.44299999999998,110.6868,1,0,0,0,0,0
2000-03-15,115.62,120.25,114.12,116.25,3960800.0,0.017505470459518557,49.312419637680506,2.54824742442095,3.5818547933584512,1,122.03699999999999,110.77300000000001,1,0,0,0,0,0
2000-03-16,117.31,122.0,114.5,121.56,3375900.0,0.04567741935483882,54.135217733246286,2.507594208519137,3.3670026763905887,1,121.99300000000001,111.1542,1,0,0,0,0,0
2000-03-17,120.12,125.0,119.62,125.0,2723600.0,0.02829878249424156,56.99026246996068,2.721582780578757,3.237918697228223,-1,121.69300000000001,111.5742,1,0,0,0,0,0
2000-03-20,123.5,126.25,122.37,123.0,1825800.0,-0.016000000000000014,54.85237304514444,2.698678296801205,3.1300706171428194,1,121.424,112.1342,1,0,0,0,0,0
2000-03-21,122.56,136.75,121.62,134.94,4681500.0,0.0970731707317074,63.62527563957133,3.6024576522826095,3.2245480241707773,1,122.631,112.84300000000002,1,0,0,0,0,0
2000-03-22,132.78,144.38,131.56,144.19,5071400.0,0.06854898473395576,68.69962143265359,5.007384980340305,3.5811154154046827,-1,124.85,113.7718,1,0,0,0,0,0
2000-03-23,142.0,150.38,140.0,141.31,5022900.0,-0.019973645883903157,65.62977465498757,5.821303713373098,4.029153074998366,-1,126.756,114.74300000000001,1,0,0,0,0,0
2000-03-24,142.44,143.94,135.5,138.69,3990300.0,-0.01854079682966525,62.8771397045365,6.183646837961476,4.460051827590988,1,128.05,115.773,1,0,0,0,0,0
2000-03-27,137.63,144.75,136.88,139.56,2492700.0,0.0062729829115293345,63.42570249378284,6.466466700952822,4.861334802263355,-1,129.875,116.6292,1,0,0,0,0,0
2000-03-28,137.25,142.0,137.13,139.13,1812200.0,-0.003081112066494751,62.930729429695745,6.580055292174492,5.205078900245582,-1,132.363,117.403,1,0,0,0,0,0
2000-03-29,139.38,139.44,133.83,135.94,2141400.0,-0.02292819665061452,59.23739093507497,6.339589883106868,5.4319810968178395,-1,134.33200000000002,118.04299999999999,1,0,0,0,0,0
2000-03-30,133.56,137.69,125.44,125.75,3700000.0,-0.07495954097395907,49.286680275614366,5.266067526907364,5.398798382835745,1,134.751,118.4268,1,0,0,0,0,0
2000-03-31,127.44,137.25,126.0,135.81,3612800.0,0.08000000000000007,56.97133753739879,5.167483714763506,5.352535449221297,-1,135.832,118.873,1,0,0,0,0,0
