date,close,y_pred,y_pred_best,y_pred_xgb,y_pred_svm,y_pred_stack,y_pred_crossover,y_pred_rsi
2000-02-29,114.62,0,0,0,0,0,0,0
2000-03-01,130.31,0,0,0,0,0,0,0
2000-03-02,122.0,0,0,0,0,0,0,0
2000-03-03,128.0,0,0,0,0,0,0,0
2000-03-06,125.69,0,0,0,0,0,0,0
2000-03-07,122.87,0,0,0,0,0,0,0
2000-03-08,122.0,0,0,0,0,0,0,0
2000-03-09,122.25,0,0,0,0,0,0,0
2000-03-10,125.75,0,0,0,0,0,0,0
2000-03-13,121.31,0,0,0,0,0,0,0
2000-03-14,114.25,0,0,0,0,0,0,0
2000-03-15,116.25,0,0,0,0,0,0,0
2000-03-16,121.56,0,0,0,0,0,0,0
2000-03-17,125.0,0,0,0,0,0,0,0
2000-03-20,123.0,0,0,0,0,0,0,0
2000-03-21,134.94,0,0,0,0,0,0,0
2000-03-22,144.19,0,0,0,0,0,0,0
2000-03-23,141.31,0,0,0,0,0,0,0
2000-03-24,138.69,0,0,0,0,0,0,0
2000-03-27,139.56,0,0,0,0,0,0,0
2000-03-28,139.13,0,0,0,0,0,0,0
2000-03-29,135.94,0,0,0,0,0,0,0
2000-03-30,125.75,0,0,0,0,0,0,0
2000-03-31,135.81,0,0,0,0,0,0,0
2000-04-03,133.31,0,0,0,0,0,0,0
2000-04-04,127.31,0,0,0,0,0,0,0
2000-04-05,130.38,0,0,0,0,0,0,0
2000-04-06,125.19,0,0,0,0,0,0,0
2000-04-07,131.75,0,0,0,0,0,0,0
2000-04-10,125.0,0,0,0,0,0,0,0
2000-04-11,119.44,0,0,0,0,0,0,0
2000-04-12,109.25,0,0,0,0,0,0,0
2000-04-13,113.81,0,0,0,0,0,0,0
2000-04-14,111.87,0,0,0,0,0,0,0
2000-04-17,123.87,0,0,0,0,0,0,0
2000-04-18,126.87,0,0,0,0,0,0,0
2000-04-19,121.12,0,0,0,0,0,0,0
2000-04-20,118.87,0,0,0,0,0,0,0
2000-04-24,120.5,0,0,0,0,0,0,0
2000-04-25,128.31,0,0,0,0,0,0,0
2000-04-26,121.31,0,0,0,0,0,0,0
2000-04-27,126.75,0,0,0,0,0,0,0
